frame,time_s,vehicle_id,x_m,y_m,img_x,img_y
812,13.533,1,1.323,44.104,256.8,701.3
813,13.55,1,1.334,43.723,261.6,699.6
814,13.567,1,1.333,43.723,261.6,699.6
815,13.583,1,1.387,43.43,265.4,698.8
816,13.6,1,1.386,43.43,265.4,698.8
817,13.617,1,1.415,43.058,270.2,697.4
818,13.633,1,1.414,43.058,270.2,697.4
819,13.65,1,1.397,42.653,275.2,695.3
820,13.667,1,1.397,42.653,275.2,695.3
821,13.683,1,1.38,42.264,280.0,693.3
822,13.7,1,1.38,42.265,280.0,693.3
823,13.717,1,1.349,41.898,284.5,691.2
824,13.733,1,1.349,41.898,284.5,691.2
825,13.75,1,1.364,41.534,289.1,689.7
826,13.767,1,1.364,41.533,289.1,689.7
827,13.783,1,1.334,41.227,292.9,687.9
828,13.8,1,1.334,41.226,292.9,687.9
829,13.817,1,1.346,40.849,297.6,686.3
830,13.833,1,1.346,40.849,297.6,686.3
831,13.85,1,1.344,40.568,301.1,684.9
832,13.867,1,1.344,40.568,301.1,684.9
833,13.883,1,1.317,40.123,306.6,682.6
834,13.9,1,1.317,40.123,306.6,682.6
835,13.917,1,1.335,39.777,310.9,681.1
836,13.933,1,1.335,39.775,311.0,681.1
837,13.95,1,1.3,39.46,314.8,679.3
838,13.967,1,1.3,39.462,314.7,679.3
839,13.983,1,1.282,39.056,319.7,677.2
840,14.0,1,1.279,39.058,319.7,677.2
841,14.017,1,1.264,38.713,323.9,675.4
842,14.033,1,1.264,38.713,323.9,675.4
843,14.05,1,1.278,38.393,328.0,674.1
844,14.067,1,1.278,38.394,327.9,674.1
845,14.083,1,1.282,38.044,332.3,672.5
846,14.1,1,1.282,38.043,332.3,672.5
847,14.117,1,1.307,37.703,336.6,671.2
848,14.133,1,1.307,37.702,336.6,671.2
849,14.15,1,1.297,37.363,340.8,669.5
850,14.167,1,1.297,37.363,340.8,669.5
851,14.183,1,1.306,36.985,345.5,667.9
852,14.2,1,1.306,36.986,345.5,667.9
853,14.217,1,1.232,36.648,349.4,665.5
854,14.233,1,1.233,36.647,349.5,665.5
855,14.25,1,1.248,36.231,354.7,663.7
856,14.267,1,1.239,36.24,354.5,663.7
857,14.283,1,1.277,35.899,358.8,662.5
858,14.3,1,1.276,35.899,358.8,662.5
859,14.317,1,1.307,35.578,362.9,661.3
860,14.333,1,1.307,35.578,362.9,661.3
861,14.35,1,1.295,35.191,367.7,659.4
862,14.367,1,1.295,35.191,367.7,659.4
863,14.383,1,1.299,34.87,371.6,658.0
864,14.4,1,1.299,34.87,371.6,658.0
865,14.417,1,1.267,34.548,375.5,656.2
866,14.433,1,1.268,34.548,375.5,656.2
867,14.45,1,1.316,34.177,380.2,655.0
868,14.467,1,1.316,34.177,380.2,655.0
869,14.483,1,1.292,33.864,384.0,653.3
870,14.5,1,1.292,33.863,384.0,653.3
871,14.517,1,1.318,33.517,388.4,651.9
872,14.533,1,1.318,33.518,388.4,651.9
873,14.55,1,1.304,33.13,393.1,650.0
874,14.567,1,1.303,33.13,393.1,650.0
875,14.583,1,1.366,32.69,398.7,648.6
876,14.6,1,1.366,32.69,398.7,648.6
877,14.617,1,1.358,32.494,401.1,647.6
878,14.633,1,1.358,32.494,401.1,647.7
879,14.65,1,1.307,32.19,404.6,645.7
880,14.667,1,1.306,32.191,404.6,645.7
881,14.683,1,1.233,31.919,407.7,643.7
